id,name,brand,year,price ,size,abv,type,varietal,country,state,region,appellation,style,taste,body,product_info,image_url
1,"Trefethen Cabernet, 2018",Trefethen,2018,$46.99 ,750ml,14.30%,Red Wine,Cabernet Sauvignon,United States,California,Napa Valley,,Elegant,"Cherry, Red Berry",Full-bodied,"Decanter-Napa Valley, California - ""Rich, deep red garnet color with aromas and flavors of black currant, ripe plum, and blackberry. Notes of lavender, cocoa, and leather are layered with black pepper and vanilla bean. Full-bodied and intense, this wine is balanced and well-structured...""","https://www.totalwine.com/dynamic/x490,sq/media/sys_master/twmmedia/h2a/h42/13046873718814.png"
2,"Rodney Strong Cabernet Sauvignon Reserve, 2015",Rodney Strong,2015,$43.99 ,750ml,14.50%,Red Wine,Cabernet Sauvignon,United States,California,Sonoma County,,,,Full-bodied,"Decanter-Alexander Valley, Sonoma, CA- ""Wonderfully refined, sumptuous and complex. Notes of dense ripe red fruits, generous blackcurrants and warm spice with cedar wood, tobacco, dark plum and chocolate. Powerful and rich yet with real elegance and finesse.""","https://www.totalwine.com/dynamic/x490,sq/media/sys_master/twmmedia/h73/hb1/12291770777630.png"
3,"Carmen Cabernet Sauvignon Delanz, 2018",Carmen,2018,$29.99 ,750ml,13.50%,Red Wine,Cabernet Sauvignon,Chile,,Maipo Valley,,Elegant,"Red Fruit, Violet, Spice",Full-bodied,"Decanter-Chile - ""Breezy and fresh nose of black fruit, sweet oak and touches of cedar. Violets and mint undertones. Grippy ripe tannin and clean acidic bite on the palate. Classy finish.""","https://www.totalwine.com/dynamic/x490,sq/media/sys_master/twmmedia/h39/h1f/14306557853726.png"
4,"Martin Ray Cabernet Sauvignon Napa , 2018",Martin Ray,2018,$37.99 ,750ml,14.10%,Red Wine,Cabernet Sauvignon,United States,California,Napa Valley,,Intense,"Blueberry, Cassis, Cedar",Full-bodied,"James Suckling-Napa, California - ""Deep and manicured with blueberry and blackberry aromas and flavors. Full-bodied and tight with super polished tannins and a tight, racy finish. Beautifully crafted tannins make this exciting.""","https://www.totalwine.com/dynamic/x490,sq/media/sys_master/twmmedia/hf8/hec/14938337968158.png"
5,"Benziger Cabernet Sauvignon Sonoma County, 2018",Benziger Family Winery,2018,$12.99 ,750ml,14.10%,Red Wine,Cabernet Sauvignon,United States,California,Sonoma County,,,,Full-bodied,"The Tasting Panel-Sonoma, CA- ""An exceptionally juicy, dark-fruited beauty with a stellar mouthfeel defined by dried lavender, dark chocolate, and black plum. Sweet tobacco contributes savoriness to tilled soil as soy sauce converges with salty minerality on the sleek finish.""","https://www.totalwine.com/dynamic/x490,sq/media/sys_master/twmmedia/h93/hd1/12338774802462.png"
6,"Belle Glos Pinot Noir Las Alturas, 2019",Belle Glos,2019,$49.99 ,750ml,14.80%,Red Wine,Pinot Noir,United States,California,Monterey,Santa Lucia Highlands,,"Black Cherry, Plum",Full-bodied,"Wine Enthusiast-Santa Lucia Highlands, Monterey, CA - ""Firm lines of graphite and loamy earth streak through the opulent aromas of black plum and dried violet on the nose of this brooding Pinot Noir. The palate is a whirlwind of exuberance, as leathery tannins wrap around more graphite minerality,..""","https://www.totalwine.com/dynamic/x490,sq/media/sys_master/twmmedia/h71/h7c/12291768254494.png"
7,"Domaine Drouhin Pinot Noir, 2018",Domaine Drouhin,2018,$38.97 ,750ml,14.10%,Red Wine,Pinot Noir,United States,Oregon,Willamette Valley,,Intense,"Cherry, Smoke",Medium-bodied,"Wine Advocate-Willamette Valley, Oregon - ""Medium ruby-purple, the 2018 Pinot Noir Dundee Hills opens with savory notions of leather, graphite and tobacco with a core of red and blue berry fruits. The palate is medium-bodied with concentrated, incredibly spicy flavor layers, firm and super fresh...""","https://www.totalwine.com/dynamic/x490,sq/media/sys_master/twmmedia/he5/h5c/12336190586910.png"
8,"Elk Cove Pinot Noir Willamette, 2017",Elk Cove,2017,$24.99 ,750ml,13.50%,Red Wine,Pinot Noir,United States,Oregon,Willamette Valley,,Intense,Cherry,Medium-bodied,"Wine Enthusiast-Willamette Valley, Oregon - ""There's a deep-set, dark-cherry core that delivers on the nose and palate here with a sleek, fine-boned feel to the tannins that carry very even and long. Neatly detailed. Plenty of fresh and vibrant red cherries...""","https://www.totalwine.com/dynamic/x490,sq/media/sys_master/twmmedia/h2c/ha5/8796505112606.png"
9,"Talbott Pinot Noir Kali Hart , 2018",Talbott,2018,$16.97 ,750ml,14.00%,Red Wine,Pinot Noir,United States,California,Monterey,,Elegant,"Cranberry, Plum, Red Currant",Medium-bodied,"Wine Enthusiast-Monterey County, California - """"Reliably one of the more fairly priced Pinot Noirs in California each vintage, this year's bottling begins with aromas of dark red fruit, baked soil and marjoram...... """"","https://www.totalwine.com/dynamic/x490,sq/media/sys_master/twmmedia/h08/hce/12291791159326.png"
10,"Kendall Jackson Pinot Noir Vintner's Reserve, 2019",Kendall Jackson,2019,$15.97 ,750ml,14.50%,Red Wine,Pinot Noir,United States,California,,,,,Medium-bodied,"Wine Enthusiast-California - ""Vivid fruit, toasted oak and black-tea flavors find excellent balance and make a great impression on the palate as this full-bodied wine layers complexity on depth. It shows a nice tension in the texture, lifting black-cherry, rhubarb and hints of mushrooms.""","https://www.totalwine.com/dynamic/x490,sq/media/sys_master/twmmedia/h45/h0c/12104358985758.png"
